study_id,vocabulary_type_step1,vocabulary_type_step2,midpoint,slope,upper_limit,AIC_LL.3,AIC_Cubic,AIC_Quad,AIC_Lin,cumulative_exp_Eng,cumulative_exp_Fre,end_age,lang_status,dominant_lang,exposure_balance,exposure_percent,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_score,num_missing_datapts,total,dominance,words_learned
S001,English,single,27.34353146023161,8.048362778865181,226.57686348310193,83.67055772975566,82.60617993947375,90.74089345434912,112.19328869973997,47.61904761904761,52.38095238095239,30,bilingual,fr_dom,47.61904761904761,47.61904761904761,14,30.233333333333334,17.129032258064516,TRUE,TRUE,14,159,0,680,nondominant,15.969696969696944
S001,French,single,25.690626286095288,12.273888365745508,140.9065433586663,70.55917415064368,84.38091588356131,97.01868001641986,110.31399122311473,47.61904761904761,52.38095238095239,30,bilingual,fr_dom,47.61904761904761,52.38095238095239,14,30.233333333333334,17.129032258064516,TRUE,TRUE,14,127,0,664,dominant,22.545454545454508
S001,word,word,26.335140748734396,9.742390585243935,354.0901773077301,85.88363738206667,91.30562792121889,109.72137933571582,129.71167007408064,47.61904761904761,52.38095238095239,30,bilingual,fr_dom,47.61904761904761,NA,14,30.233333333333334,17.129032258064516,TRUE,TRUE,14,286,0,1344,NA,25.65517241379315
S001,concept,concept,26.089767086809303,9.501500211054305,293.46331220886333,72.77864297289491,83.11487218896096,105.75949351663346,122.165777862255,47.61904761904761,52.38095238095239,30,bilingual,fr_dom,47.61904761904761,NA,14,30.233333333333334,17.129032258064516,TRUE,TRUE,14,237,0,733,NA,22.448275862069007
S006,English,single,22.23887994964404,13.531324650609257,583.1542793515399,124.99508884952496,146.7522230527809,160.97655828388858,167.09078141546314,93.68863955119214,6.311360448807854,31,eng_mono,eng_dom,6.311360448807854,93.68863955119214,15,30.71505376344086,16.581720430107527,TRUE,NA,15,587,0,680,dominant,71.71810449574743
S006,word,word,22.23887994964404,13.531324650609257,583.1542793515399,124.99508884952496,146.7522230527809,160.97655828388858,167.09078141546314,93.68863955119214,6.311360448807854,31,eng_mono,eng_dom,6.311360448807854,NA,15,30.71505376344086,16.581720430107527,TRUE,NA,15,587,0,680,NA,71.71810449574743
S006,concept,concept,22.23887994964404,13.531324650609257,583.1542793515399,124.99508884952496,146.7522230527809,160.97655828388858,167.09078141546314,93.68863955119214,6.311360448807854,31,eng_mono,eng_dom,6.311360448807854,NA,15,30.71505376344086,16.581720430107527,TRUE,NA,15,587,0,680,NA,71.71810449574743
S009,French,single,23.63086009551455,6.876317443475917,605.8502878007088,101.35834338001544,90.19849071492628,102.67016260156274,114.62866255989498,51.010280042538106,46.82736618220489,31,bilingual,eng_dom,46.82736618220489,46.82736618220489,14,30.265591397849462,17.358064516129033,TRUE,TRUE,14,516,0,664,nondominant,35.537705685097144
S009,word,word,25.958717729685333,5.360220031278363,1562.1718229805394,133.7925342195357,110.76269114571204,112.39642045191624,110.40009623577676,51.010280042538106,46.82736618220489,31,bilingual,eng_dom,46.82736618220489,NA,14,30.265591397849462,17.358064516129033,TRUE,TRUE,14,1100,0,1344,NA,73.99803536345757
S009,concept,concept,24.02416548362576,5.6090610588546115,813.0335117961532,116.53349761303672,85.96549289127503,89.11455443885768,111.62815852752816,51.010280042538106,46.82736618220489,31,bilingual,eng_dom,46.82736618220489,NA,14,30.265591397849462,17.358064516129033,TRUE,TRUE,14,652,0,733,NA,29.44552756765192
S015,English,single,25.866319772895977,10.559749433813709,702.132624259732,117.521954036479,122.45544854528109,135.00413709734755,140.38068069934275,72.48847926267281,24.677419354838708,31,bilingual,eng_dom,24.677419354838708,72.48847926267281,14,30.9505376344086,17.583870967741934,TRUE,TRUE,13,616,1,680,dominant,132.19681908548705
S015,French,single,27.121351173415565,12.709317901736105,377.2425440345365,98.3163577206468,110.25621359475896,113.5661492972302,134.60730648348255,72.48847926267281,24.677419354838708,31,bilingual,eng_dom,24.677419354838708,24.677419354838708,14,30.9505376344086,17.583870967741934,TRUE,TRUE,13,322,1,664,nondominant,32.303473491773325
S015,word,word,26.42367141552532,10.847150998918703,1096.536388923832,122.9814155168698,131.64143583263169,142.7645107321305,154.46918202097436,72.48847926267281,24.677419354838708,31,bilingual,eng_dom,24.677419354838708,NA,14,30.9505376344086,17.583870967741934,TRUE,TRUE,13,938,1,1344,NA,171.94831013916496
S015,concept,concept,25.86041777234447,10.372684975696528,723.5197204546064,116.94928434840703,122.34876144168962,135.35972757030447,140.70362389690703,72.48847926267281,24.677419354838708,31,bilingual,eng_dom,24.677419354838708,NA,14,30.9505376344086,17.583870967741934,TRUE,TRUE,13,631,1,733,NA,125.7256461232604
S019,French,single,25.72576848419916,11.40550399954778,378.2495413428035,109.61040168447089,116.8039879351322,130.66754221175358,137.59293336734314,39.49967083607637,60.50032916392364,31,bilingual,fr_dom,39.49967083607637,60.50032916392364,14,30.7247311827957,17.517204301075267,TRUE,TRUE,14,332,0,664,dominant,33.424947145877425
S019,word,word,27.32850399827946,8.900681720611585,688.0706899909499,104.1064738316424,111.02657984201186,124.71986166251808,146.5442584739188,39.49967083607637,60.50032916392364,31,bilingual,fr_dom,39.49967083607637,NA,14,30.7247311827957,17.517204301075267,TRUE,TRUE,14,507,0,1344,NA,47.94844253490875
S019,concept,concept,26.032199984819904,9.81684135070743,445.5403789988091,105.0404945250566,111.43395906879412,127.31368056829184,136.02068101917197,39.49967083607637,60.50032916392364,31,bilingual,fr_dom,39.49967083607637,NA,14,30.7247311827957,17.517204301075267,TRUE,TRUE,14,370,0,733,NA,36.374207188160725
S023,English,single,20.923111485235005,7.847964250480228,707.0542971784713,121.29151069709084,122.32313285747024,131.90243082056946,162.7059980899267,76.56746031746032,23.432539682539684,30,bilingual,eng_dom,23.432539682539684,76.56746031746032,15,30.508064516129032,16.39462365591398,TRUE,TRUE,15,666,0,680,dominant,33.60351562499988
S023,French,single,25.11223835457907,7.35609461342344,412.5579421614086,87.85013406037041,91.5462096185542,108.91433306154669,111.69828292664974,76.56746031746032,23.432539682539684,30,bilingual,eng_dom,23.432539682539684,23.432539682539684,15,30.508064516129032,16.39462365591398,TRUE,TRUE,15,332,2,664,nondominant,25.160320641282624
