study_id,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_type_step1,vocabulary_score,num_missing_datapts,total
S058,14,29.524731182795698,16.29784946236559,TRUE,TRUE,14,word,607,0,1344
S058,14,29.524731182795698,16.29784946236559,TRUE,TRUE,14,concept,394,0,733
S063,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,English,300,1,680
S063,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,French,428,1,664
S063,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,word,728,1,1344
S063,13,29.233333333333334,17.033333333333335,TRUE,TRUE,13,concept,481,1,733
S064,14,29.198924731182796,16.226881720430107,TRUE,TRUE,13,English,360,1,680
S064,14,29.198924731182796,16.226881720430107,TRUE,TRUE,13,French,112,1,664
S064,14,29.198924731182796,16.226881720430107,TRUE,TRUE,13,word,472,1,1344
S064,14,29.198924731182796,16.226881720430107,TRUE,TRUE,13,concept,387,1,733
S069,14,29.55698924731183,16.323655913978495,TRUE,TRUE,14,English,680,0,680
S069,14,29.55698924731183,16.323655913978495,TRUE,TRUE,14,French,643,1,664
S069,14,29.55698924731183,16.323655913978495,TRUE,TRUE,14,word,1323,1,1344
S069,14,29.55698924731183,16.323655913978495,TRUE,TRUE,14,concept,731,1,733
S072,14,29.59032258064516,16.38924731182796,NA,TRUE,13,French,518,1,664
S072,14,29.59032258064516,16.38924731182796,NA,TRUE,13,word,518,1,664
S072,14,29.59032258064516,16.38924731182796,NA,TRUE,13,concept,518,1,664
S073,13,29.133333333333333,16.93763440860215,TRUE,NA,12,English,679,1,680
S073,13,29.133333333333333,16.93763440860215,TRUE,NA,12,word,679,1,680
S073,13,29.133333333333333,16.93763440860215,TRUE,NA,12,concept,679,1,680
S079,12,27.163440860215054,16.131182795698926,TRUE,NA,9,English,513,5,680
S079,12,27.163440860215054,16.131182795698926,TRUE,NA,9,word,513,5,680
S079,12,27.163440860215054,16.131182795698926,TRUE,NA,9,concept,513,5,680
S081,14,29.419354838709676,16.164516129032258,TRUE,NA,14,English,652,0,680
S081,14,29.419354838709676,16.164516129032258,TRUE,NA,14,word,652,0,680
S081,14,29.419354838709676,16.164516129032258,TRUE,NA,14,concept,652,0,680
S086,12,27.294623655913977,16.225806451612904,TRUE,TRUE,12,English,258,2,680
S086,12,27.294623655913977,16.225806451612904,TRUE,TRUE,12,French,301,2,664
S086,12,27.294623655913977,16.225806451612904,TRUE,TRUE,12,word,559,2,1344
S086,12,27.294623655913977,16.225806451612904,TRUE,TRUE,12,concept,380,2,733
S087,14,29.873118279569898,16.870967741935484,NA,TRUE,14,French,653,0,664
S087,14,29.873118279569898,16.870967741935484,NA,TRUE,14,word,653,0,664
S087,14,29.873118279569898,16.870967741935484,NA,TRUE,14,concept,653,0,664
S088,14,29.259139784946235,16.29032258064516,TRUE,TRUE,11,English,606,3,680
S088,14,29.259139784946235,16.29032258064516,TRUE,TRUE,11,French,466,4,664
S088,14,29.259139784946235,16.29032258064516,TRUE,TRUE,11,word,1072,4,1344
S088,14,29.259139784946235,16.29032258064516,TRUE,TRUE,11,concept,647,4,733
S096,14,29.13118279569893,16.363440860215054,NA,TRUE,12,French,633,2,664
S096,14,29.13118279569893,16.363440860215054,NA,TRUE,12,word,633,2,664
S096,14,29.13118279569893,16.363440860215054,NA,TRUE,12,concept,633,2,664
S097,14,30.06451612903226,16.938709677419354,TRUE,TRUE,14,English,115,0,680
S097,14,30.06451612903226,16.938709677419354,TRUE,TRUE,14,French,193,0,664
S097,14,30.06451612903226,16.938709677419354,TRUE,TRUE,14,word,308,0,1344
S097,14,30.06451612903226,16.938709677419354,TRUE,TRUE,14,concept,229,0,733
S098,14,30.129032258064516,17.1,TRUE,TRUE,14,English,139,0,680
