study_id,phase,end_age,cumulative_exp_Eng,cumulative_exp_Fre,cumulative_exp_L3,cumulative_exp_L4,lang_status,dominant_lang
S039,7,23,0.428,0.567,0.006,NA,bilingual,fr_dom
S059,5,23,0.226,0.774,0,NA,bilingual,fr_dom
S099,2,23,0,1,0,NA,fr_mono,fr_dom
S105,4,23,0.905,0.095,NA,NA,eng_mono,eng_dom
S133,6,23,0.489,0.511,NA,NA,bilingual,fr_dom
S027,6,24,0.603,0.381,0.016,NA,bilingual,eng_dom
S050,5,24,0.309,0.691,0,NA,bilingual,fr_dom
S068,6,24,0.455,0.545,0,NA,bilingual,fr_dom
S083,4,24,NA,0.83,0.17,NA,bilingual,fr_dom
S022,3,25,0.978,0.022,NA,NA,eng_mono,eng_dom
S036,4,25,0.464,0.536,0,NA,bilingual,fr_dom
S082,1,25,0.071,0.929,0,NA,fr_mono,fr_dom
S017,4,26,0.336,0.664,NA,NA,bilingual,fr_dom
S058,4,27,0.649,0.295,0.055,0,bilingual,eng_dom
S103,5,27,0.478,0.522,NA,NA,bilingual,fr_dom
S120,3,27,0.499,0.501,NA,NA,bilingual,fr_dom
S049,6,28,0.471,0.529,0,NA,bilingual,fr_dom
S115,5,28,0.006,0.994,NA,NA,fr_mono,fr_dom
S053,4,29,0,1,NA,NA,fr_mono,fr_dom
S131,2,29,1,0,0,NA,eng_mono,eng_dom
S012,10,30,0.429,0.571,0,0,bilingual,fr_dom
S025,4,30,0.164,0.836,NA,NA,bilingual,fr_dom
S048,1,30,0.77,0.23,NA,NA,bilingual,eng_dom
S074,6,30,0.079,0.614,0.004,0.302,bilingual,fr_dom
S079,4,30,0.94,0.06,NA,NA,eng_mono,eng_dom
S081,3,30,0.969,0.031,NA,NA,eng_mono,eng_dom
S087,4,30,0.007,0.993,0,0,fr_mono,fr_dom
S116,6,30,0.919,0.081,NA,NA,eng_mono,eng_dom
S122,6,30,0.981,0.019,NA,NA,eng_mono,eng_dom
S126,5,30,0.336,0.664,NA,NA,bilingual,fr_dom
S073,9,31,0.946,0.054,NA,NA,eng_mono,eng_dom
S091,7,31,0.04,0.96,NA,NA,fr_mono,fr_dom
S100,6,31,0.93,0.055,0.015,NA,eng_mono,eng_dom
S101,4,31,0.909,0.091,NA,NA,eng_mono,eng_dom
S104,3,31,0.11,0.89,NA,NA,bilingual,fr_dom
S106,2,31,0,1,NA,NA,fr_mono,fr_dom
S107,3,31,0.015,0.985,NA,NA,fr_mono,fr_dom
S113,3,31,0,1,NA,NA,fr_mono,fr_dom
S117,3,31,0.035,0.704,0.217,0.043,bilingual,fr_dom
S123,3,31,0.914,0.086,NA,NA,eng_mono,eng_dom
S125,5,31,0.509,0.491,0,0,bilingual,eng_dom
S127,7,31,0.77,0.23,0,0,bilingual,eng_dom
S130,2,31,0.043,0.957,NA,NA,fr_mono,fr_dom
S132,3,31,0.37,0.63,NA,NA,bilingual,fr_dom
S134,5,31,0.166,0.824,0.01,NA,bilingual,fr_dom
S136,7,31,0.36,0.64,0,NA,bilingual,fr_dom
S037,8,32,0.155,0.798,0.048,0,bilingual,fr_dom
